repeat,fold,model,stage,search_strategy,threshold,best_inner_score,best_params,mcc,balanced_accuracy,f1,recall,specificity,precision,tn,fp,fn,tp,roc_auc,pr_auc
4,3,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.736638872427111,"{""feature_selector__k"": 16, ""model__C"": 5.8523621724462, ""model__l1_ratio"": 0.9957536129218381}",0.5427663841159265,0.7604895104895104,0.717948717948718,0.6363636363636364,0.8846153846153846,0.8235294117647058,23,3,8,14,0.8653846153846154,0.8363748752471508
4,4,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.5972198260195494,"{""feature_selector__k"": 6, ""model__C"": 37.4533910538367, ""model__l1_ratio"": 0.043401862325740836}",0.7901744265512675,0.8933566433566433,0.8837209302325582,0.8636363636363636,0.9230769230769231,0.9047619047619048,24,2,3,19,0.9676573426573426,0.957483872579612
4,5,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7210194078823005,"{""feature_selector__k"": 12, ""model__C"": 0.25193929269753584, ""model__l1_ratio"": 0.2893672668770901}",0.41024184123315394,0.6993006993006994,0.65,0.5909090909090909,0.8076923076923077,0.7222222222222222,21,5,9,13,0.7779720279720279,0.7736864300268962
5,1,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.692759148895675,"{""feature_selector__k"": 17, ""model__C"": 0.10908264001052674, ""model__l1_ratio"": 0.2850601278211313}",0.7253478556896926,0.850334448160535,0.8292682926829268,0.7391304347826086,0.9615384615384616,0.9444444444444444,25,1,6,17,0.8645484949832775,0.8933331460102883
5,2,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6414206353935464,"{""feature_selector__k"": 12, ""model__C"": 0.773155739687543, ""model__l1_ratio"": 0.0621185424494517}",0.6845676127738614,0.8434343434343434,0.8333333333333334,0.9090909090909091,0.7777777777777778,0.7692307692307693,21,6,2,20,0.9090909090909092,0.856843398143912
5,3,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6382560486839256,"{""feature_selector__k"": 18, ""model__C"": 6.1147516398248944, ""model__l1_ratio"": 0.18185237779229846}",0.6783216783216783,0.8391608391608392,0.8333333333333334,0.9090909090909091,0.7692307692307693,0.7692307692307693,20,6,2,20,0.9388111888111887,0.9179868012074447
5,4,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.7428342592447149,"{""feature_selector__k"": 20, ""model__C"": 0.33200807947747973, ""model__l1_ratio"": 0.002247267114235618}",0.5136098017959848,0.7342657342657343,0.6666666666666666,0.5454545454545454,0.9230769230769231,0.8571428571428571,24,2,10,12,0.8374125874125875,0.8383847421927917
5,5,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6266081968944881,"{""feature_selector__k"": 10, ""model__C"": 12.711568785475153, ""model__l1_ratio"": 0.8143115585794246}",0.708939636514663,0.8479020979020979,0.8292682926829268,0.7727272727272727,0.9230769230769231,0.8947368421052632,24,2,5,17,0.9300699300699301,0.9335432936499548
6,1,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6144741121340974,"{""feature_selector__k"": 19, ""model__C"": 3.3129749619808497, ""model__l1_ratio"": 0.4793170659364042}",0.7997538111564282,0.8938127090301003,0.8837209302325582,0.8260869565217391,0.9615384615384616,0.95,25,1,4,19,0.9264214046822742,0.9420570796924308
6,2,lr_elasticnet,tuned_rncv_selected_features,optuna,0.5,0.6778111069359554,"{""feature_selector__k"": 10, ""model__C"": 0.13997048431625395, ""model__l1_ratio"": 0.05307274082956477}",0.6308760353014017,0.8164983164983165,0.8,0.8181818181818182,0.8148148148148148,0.782608695652174,22,5,4,18,0.8821548821548822,0.8604422038216504
